; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
40	1	1	comcod	91621250
40	2	1	comcod	84668578.125
40	3	1	comcod	94948796.875
40	4	1	comcod	103604921.875
40	5	1	comcod	100692851.5625
41	1	1	comcod	88541640.625
41	2	1	comcod	80473250
41	3	1	comcod	93436187.5
41	4	1	comcod	104962406.25
41	5	1	comcod	101998000
42	1	1	comcod	91011625
42	2	1	comcod	82552070.3125
42	3	1	comcod	95156773.4375
42	4	1	comcod	106073710.9375
42	5	1	comcod	103444515.625
43	1	1	comcod	91318492.1875
43	2	1	comcod	84611328.125
43	3	1	comcod	96346226.5625
43	4	1	comcod	104654828.125
43	5	1	comcod	101825164.0625
44	1	1	comcod	92456632.8125
44	2	1	comcod	80952937.5
44	3	1	comcod	94663117.1875
44	4	1	comcod	105451703.125
44	5	1	comcod	100656156.25
45	1	1	comcod	88593859.375
45	2	1	comcod	81215773.4375
45	3	1	comcod	94940703.125
45	4	1	comcod	109549359.375
45	5	1	comcod	102154414.0625
46	1	1	comcod	92104187.5
46	2	1	comcod	82364296.875
46	3	1	comcod	94728531.25
46	4	1	comcod	106801710.9375
46	5	1	comcod	103438843.75
47	1	1	comcod	92861101.5625
47	2	1	comcod	84360171.875
47	3	1	comcod	96406289.0625
47	4	1	comcod	108951765.625
47	5	1	comcod	104087429.6875
48	1	1	comcod	92431375
48	2	1	comcod	83060250
48	3	1	comcod	95157085.9375
48	4	1	comcod	106401273.4375
48	5	1	comcod	105553382.8125
49	1	1	comcod	94485156.25
49	2	1	comcod	83411648.4375
49	3	1	comcod	96940195.3125
49	4	1	comcod	107282929.6875
49	5	1	comcod	104513679.6875
50	1	1	comcod	94973742.1875
50	2	1	comcod	84268507.8125
50	3	1	comcod	95106664.0625
50	4	1	comcod	108113421.875
50	5	1	comcod	103692773.4375
51	1	1	comcod	92918265.625
51	2	1	comcod	83440593.75
51	3	1	comcod	97204851.5625
51	4	1	comcod	106837601.5625
51	5	1	comcod	104783773.4375
52	1	1	comcod	90747648.4375
52	2	1	comcod	82878132.8125
52	3	1	comcod	96260523.4375
52	4	1	comcod	106111335.9375
52	5	1	comcod	101674320.3125
53	1	1	comcod	91491257.8125
53	2	1	comcod	82897335.9375
53	3	1	comcod	93393062.5
53	4	1	comcod	102504140.625
53	5	1	comcod	101591546.875
54	1	1	comcod	88206796.875
54	2	1	comcod	82024765.625
54	3	1	comcod	93332929.6875
54	4	1	comcod	105868375
54	5	1	comcod	101601296.875
55	1	1	comcod	256972078.125
55	2	1	comcod	207900093.75
55	3	1	comcod	218769750
55	4	1	comcod	223992265.625
55	5	1	comcod	195770343.75
56	1	1	comcod	159683968.75
56	2	1	comcod	128809257.8125
56	3	1	comcod	159513953.125
56	4	1	comcod	177499484.375
56	5	1	comcod	153592984.375
57	1	1	comcod	125525039.0625
57	2	1	comcod	103912851.5625
57	3	1	comcod	137314578.125
57	4	1	comcod	156290296.875
57	5	1	comcod	138305125
58	1	1	comcod	117139000
58	2	1	comcod	97075585.9375
58	3	1	comcod	130623781.25
58	4	1	comcod	149387453.125
58	5	1	comcod	130817843.75
59	1	1	comcod	110748765.625
59	2	1	comcod	95111500
59	3	1	comcod	128696085.9375
59	4	1	comcod	152396171.875
59	5	1	comcod	132583203.125
60	1	1	comcod	109145031.25
60	2	1	comcod	93434617.1875
60	3	1	comcod	126452070.3125
60	4	1	comcod	148197828.125
60	5	1	comcod	131532125
61	1	1	comcod	110195062.5
61	2	1	comcod	94111132.8125
61	3	1	comcod	129350085.9375
61	4	1	comcod	154126890.625
61	5	1	comcod	134583906.25
62	1	1	comcod	111421007.8125
62	2	1	comcod	92210648.4375
62	3	1	comcod	130827710.9375
62	4	1	comcod	157645531.25
62	5	1	comcod	137033718.75
63	1	1	comcod	113020382.8125
63	2	1	comcod	96447078.125
63	3	1	comcod	129238390.625
63	4	1	comcod	157887046.875
63	5	1	comcod	139002359.375
64	1	1	comcod	117470265.625
64	2	1	comcod	97190414.0625
64	3	1	comcod	130018523.4375
64	4	1	comcod	153616640.625
64	5	1	comcod	132039875
65	1	1	comcod	111874523.4375
65	2	1	comcod	92995046.875
65	3	1	comcod	135802671.875
65	4	1	comcod	163106031.25
65	5	1	comcod	138996937.5
66	1	1	comcod	115134570.3125
66	2	1	comcod	99103804.6875
66	3	1	comcod	130265367.1875
66	4	1	comcod	151782421.875
66	5	1	comcod	132399468.75
67	1	1	comcod	110004898.4375
67	2	1	comcod	89954757.8125
67	3	1	comcod	127970382.8125
67	4	1	comcod	153189484.375
67	5	1	comcod	134052906.25
68	1	1	comcod	111424359.375
68	2	1	comcod	92790492.1875
68	3	1	comcod	128167593.75
68	4	1	comcod	154377343.75
68	5	1	comcod	131538828.125
69	1	1	comcod	111686656.25
69	2	1	comcod	93918398.4375
69	3	1	comcod	130634125
69	4	1	comcod	157796984.375
69	5	1	comcod	137944843.75
70	1	1	comcod	113409039.0625
70	2	1	comcod	95205171.875
70	3	1	comcod	135370734.375
70	4	1	comcod	160338984.375
70	5	1	comcod	140175953.125
71	1	1	comcod	118650007.8125
71	2	1	comcod	98369250
71	3	1	comcod	132819093.75
71	4	1	comcod	156599265.625
71	5	1	comcod	136341687.5
72	1	1	comcod	114519375
72	2	1	comcod	95709710.9375
72	3	1	comcod	128396703.125
72	4	1	comcod	151117375
72	5	1	comcod	130505882.8125
73	1	1	comcod	109657234.375
73	2	1	comcod	91009140.625
73	3	1	comcod	127505304.6875
73	4	1	comcod	157399328.125
73	5	1	comcod	133370421.875
74	1	1	comcod	111856695.3125
74	2	1	comcod	92883812.5
74	3	1	comcod	130437375
74	4	1	comcod	159550203.125
74	5	1	comcod	138491875
75	1	1	comcod	115987070.3125
75	2	1	comcod	96100515.625
75	3	1	comcod	128509710.9375
75	4	1	comcod	150377312.5
75	5	1	comcod	133993484.375
76	1	1	comcod	110174281.25
76	2	1	comcod	92530882.8125
76	3	1	comcod	125307179.6875
76	4	1	comcod	148272687.5
76	5	1	comcod	131204343.75
77	1	1	comcod	108033812.5
77	2	1	comcod	91293539.0625
77	3	1	comcod	130757773.4375
77	4	1	comcod	156860359.375
77	5	1	comcod	138994906.25
78	1	1	comcod	114790218.75
78	2	1	comcod	96879218.75
78	3	1	comcod	131645234.375
78	4	1	comcod	152199671.875
78	5	1	comcod	133699156.25
79	1	1	comcod	111265640.625
79	2	1	comcod	93554929.6875
79	3	1	comcod	127550015.625
79	4	1	comcod	150339765.625
79	5	1	comcod	130144046.875
80	1	1	comcod	75837882.8125
80	2	1	comcod	56766332.03125
80	3	1	comcod	82677062.5
80	4	1	comcod	101920820.3125
80	5	1	comcod	96479632.8125
81	1	1	comcod	84988726.5625
81	2	1	comcod	78225031.25
81	3	1	comcod	98312992.1875
81	4	1	comcod	118800062.5
81	5	1	comcod	109528742.1875
82	1	1	comcod	99654328.125
82	2	1	comcod	90234367.1875
82	3	1	comcod	110647906.25
82	4	1	comcod	127186218.75
82	5	1	comcod	118383921.875
83	1	1	comcod	106165093.75
83	2	1	comcod	94225484.375
83	3	1	comcod	113545195.3125
83	4	1	comcod	128330703.125
83	5	1	comcod	122978328.125
84	1	1	comcod	106625039.0625
84	2	1	comcod	96359734.375
84	3	1	comcod	115169773.4375
84	4	1	comcod	132055640.625
84	5	1	comcod	124348265.625
85	1	1	comcod	108985992.1875
85	2	1	comcod	95945656.25
85	3	1	comcod	116631312.5
85	4	1	comcod	134463437.5
85	5	1	comcod	122483875
86	1	1	comcod	110148031.25
86	2	1	comcod	99617648.4375
86	3	1	comcod	119329640.625
86	4	1	comcod	134832656.25
86	5	1	comcod	127965570.3125
87	1	1	comcod	112142367.1875
87	2	1	comcod	99333109.375
87	3	1	comcod	122279835.9375
87	4	1	comcod	138065140.625
87	5	1	comcod	127560109.375
88	1	1	comcod	114523460.9375
88	2	1	comcod	100704757.8125
88	3	1	comcod	121641507.8125
88	4	1	comcod	138818250
88	5	1	comcod	131912390.625
89	1	1	comcod	112377750
89	2	1	comcod	99064484.375
89	3	1	comcod	123667414.0625
89	4	1	comcod	138308187.5
89	5	1	comcod	130592726.5625
90	1	1	comcod	114979875
90	2	1	comcod	100312000
90	3	1	comcod	120816882.8125
90	4	1	comcod	135276843.75
90	5	1	comcod	124800125
91	1	1	comcod	113385398.4375
91	2	1	comcod	99108453.125
91	3	1	comcod	116749382.8125
91	4	1	comcod	130217085.9375
91	5	1	comcod	125153726.5625
92	1	1	comcod	112587828.125
92	2	1	comcod	98978726.5625
92	3	1	comcod	119447648.4375
92	4	1	comcod	137640000
92	5	1	comcod	124809757.8125
93	1	1	comcod	112934773.4375
93	2	1	comcod	100173945.3125
93	3	1	comcod	121264906.25
93	4	1	comcod	139515171.875
93	5	1	comcod	132816140.625
94	1	1	comcod	116608898.4375
94	2	1	comcod	102719585.9375
94	3	1	comcod	119948546.875
94	4	1	comcod	138484718.75
94	5	1	comcod	126700085.9375
95	1	1	comcod	112552304.6875
95	2	1	comcod	97441015.625
95	3	1	comcod	119539507.8125
95	4	1	comcod	134757578.125
95	5	1	comcod	127754109.375
96	1	1	comcod	111544046.875
96	2	1	comcod	99634359.375
96	3	1	comcod	120192781.25
96	4	1	comcod	135550093.75
96	5	1	comcod	128316101.5625
97	1	1	comcod	112279468.75
97	2	1	comcod	101328046.875
97	3	1	comcod	120513125
97	4	1	comcod	136986796.875
97	5	1	comcod	128679554.6875
98	1	1	comcod	113541960.9375
98	2	1	comcod	102028953.125
98	3	1	comcod	119169921.875
98	4	1	comcod	139441078.125
98	5	1	comcod	128076851.5625
99	1	1	comcod	113098859.375
99	2	1	comcod	101885539.0625
99	3	1	comcod	122136078.125
99	4	1	comcod	136615078.125
99	5	1	comcod	129066718.75
100	1	1	comcod	113110164.0625
100	2	1	comcod	99454242.1875
100	3	1	comcod	121915773.4375
100	4	1	comcod	138653484.375
100	5	1	comcod	131134515.625
101	1	1	comcod	114458531.25
101	2	1	comcod	102444757.8125
101	3	1	comcod	120250437.5
101	4	1	comcod	136347640.625
101	5	1	comcod	130465992.1875
102	1	1	comcod	113066250
102	2	1	comcod	102258593.75
102	3	1	comcod	120701593.75
102	4	1	comcod	137784578.125
102	5	1	comcod	127972382.8125
103	1	1	comcod	111469062.5
103	2	1	comcod	99364429.6875
103	3	1	comcod	120427476.5625
103	4	1	comcod	138293750
103	5	1	comcod	132601812.5
104	1	1	comcod	115444585.9375
104	2	1	comcod	103207906.25
104	3	1	comcod	119496992.1875
104	4	1	comcod	135836000
104	5	1	comcod	128346757.8125
105	1	1	comcod	132420484.375
105	2	1	comcod	118653281.25
105	3	1	comcod	138774515.625
105	4	1	comcod	152436921.875
105	5	1	comcod	147282328.125
106	1	1	comcod	123519156.25
106	2	1	comcod	104599109.375
106	3	1	comcod	130655414.0625
106	4	1	comcod	148803265.625
106	5	1	comcod	138278578.125
107	1	1	comcod	119973070.3125
107	2	1	comcod	103817148.4375
107	3	1	comcod	129179242.1875
107	4	1	comcod	144493843.75
107	5	1	comcod	133441000
108	1	1	comcod	114612921.875
108	2	1	comcod	99345367.1875
108	3	1	comcod	124454132.8125
108	4	1	comcod	144078375
108	5	1	comcod	130666695.3125
109	1	1	comcod	112686375
109	2	1	comcod	99824234.375
109	3	1	comcod	126119203.125
109	4	1	comcod	148215984.375
109	5	1	comcod	135393171.875
110	1	1	comcod	116299835.9375
110	2	1	comcod	102033343.75
110	3	1	comcod	126679718.75
110	4	1	comcod	141811656.25
110	5	1	comcod	131786296.875
111	1	1	comcod	114353109.375
111	2	1	comcod	99834226.5625
111	3	1	comcod	121077000
111	4	1	comcod	139097000
111	5	1	comcod	125312664.0625
112	1	1	comcod	109584750
112	2	1	comcod	95376875
112	3	1	comcod	121206921.875
112	4	1	comcod	141203203.125
112	5	1	comcod	126974773.4375
113	1	1	comcod	110268585.9375
113	2	1	comcod	97290117.1875
113	3	1	comcod	122980859.375
113	4	1	comcod	141830718.75
113	5	1	comcod	131161078.125
114	1	1	comcod	116225976.5625
114	2	1	comcod	101385812.5
114	3	1	comcod	123303421.875
114	4	1	comcod	137293609.375
114	5	1	comcod	129702585.9375
115	1	1	comcod	109640750
115	2	1	comcod	99727164.0625
115	3	1	comcod	123739515.625
115	4	1	comcod	142311828.125
115	5	1	comcod	132697515.625
116	1	1	comcod	111593664.0625
116	2	1	comcod	100709968.75
116	3	1	comcod	125995476.5625
116	4	1	comcod	143937031.25
116	5	1	comcod	135091468.75
117	1	1	comcod	116870585.9375
117	2	1	comcod	101682507.8125
117	3	1	comcod	128544687.5
117	4	1	comcod	141771093.75
117	5	1	comcod	128132242.1875
118	1	1	comcod	114480804.6875
118	2	1	comcod	99922789.0625
118	3	1	comcod	124474796.875
118	4	1	comcod	146413406.25
118	5	1	comcod	134609593.75
119	1	1	comcod	117558945.3125
119	2	1	comcod	103228187.5
119	3	1	comcod	123605773.4375
119	4	1	comcod	141719968.75
119	5	1	comcod	130607531.25
120	1	1	comcod	112327085.9375
120	2	1	comcod	99623617.1875
120	3	1	comcod	124507039.0625
120	4	1	comcod	141233312.5
120	5	1	comcod	131092125
