; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
40	1	1	comcap	0
40	2	1	comcap	0
40	3	1	comcap	0
40	4	1	comcap	0
40	5	1	comcap	0
41	1	1	comcap	0
41	2	1	comcap	0
41	3	1	comcap	0
41	4	1	comcap	0
41	5	1	comcap	0
42	1	1	comcap	0
42	2	1	comcap	0
42	3	1	comcap	0
42	4	1	comcap	0
42	5	1	comcap	0
43	1	1	comcap	0
43	2	1	comcap	0
43	3	1	comcap	0
43	4	1	comcap	0
43	5	1	comcap	0
44	1	1	comcap	0
44	2	1	comcap	0
44	3	1	comcap	0
44	4	1	comcap	0
44	5	1	comcap	0
45	1	1	comcap	0
45	2	1	comcap	0
45	3	1	comcap	0
45	4	1	comcap	0
45	5	1	comcap	0
46	1	1	comcap	0
46	2	1	comcap	0
46	3	1	comcap	0
46	4	1	comcap	0
46	5	1	comcap	0
47	1	1	comcap	0
47	2	1	comcap	0
47	3	1	comcap	0
47	4	1	comcap	0
47	5	1	comcap	0
48	1	1	comcap	0
48	2	1	comcap	0
48	3	1	comcap	0
48	4	1	comcap	0
48	5	1	comcap	0
49	1	1	comcap	0
49	2	1	comcap	0
49	3	1	comcap	0
49	4	1	comcap	0
49	5	1	comcap	0
50	1	1	comcap	0
50	2	1	comcap	0
50	3	1	comcap	0
50	4	1	comcap	0
50	5	1	comcap	0
51	1	1	comcap	0
51	2	1	comcap	0
51	3	1	comcap	0
51	4	1	comcap	0
51	5	1	comcap	0
52	1	1	comcap	0
52	2	1	comcap	0
52	3	1	comcap	0
52	4	1	comcap	0
52	5	1	comcap	0
53	1	1	comcap	0
53	2	1	comcap	0
53	3	1	comcap	0
53	4	1	comcap	0
53	5	1	comcap	0
54	1	1	comcap	0
54	2	1	comcap	0
54	3	1	comcap	0
54	4	1	comcap	0
54	5	1	comcap	0
55	1	1	comcap	33612324.21875
55	2	1	comcap	37074714.84375
55	3	1	comcap	58433660.15625
55	4	1	comcap	59930089.84375
55	5	1	comcap	54592535.15625
56	1	1	comcap	43208691.40625
56	2	1	comcap	24533027.34375
56	3	1	comcap	29614187.5
56	4	1	comcap	27939669.921875
56	5	1	comcap	24044957.03125
57	1	1	comcap	19497878.90625
57	2	1	comcap	33788113.28125
57	3	1	comcap	57468503.90625
57	4	1	comcap	61805824.21875
57	5	1	comcap	57140117.1875
58	1	1	comcap	46605992.1875
58	2	1	comcap	36653179.6875
58	3	1	comcap	51555660.15625
58	4	1	comcap	53114082.03125
58	5	1	comcap	47371410.15625
59	1	1	comcap	38682769.53125
59	2	1	comcap	30756208.984375
59	3	1	comcap	43360468.75
59	4	1	comcap	44504859.375
59	5	1	comcap	42454773.4375
60	1	1	comcap	33826722.65625
60	2	1	comcap	30378623.046875
60	3	1	comcap	45198917.96875
60	4	1	comcap	46929031.25
60	5	1	comcap	43554058.59375
61	1	1	comcap	35441875
61	2	1	comcap	37992625
61	3	1	comcap	56930726.5625
61	4	1	comcap	61170925.78125
61	5	1	comcap	56349238.28125
62	1	1	comcap	45340535.15625
62	2	1	comcap	42884968.75
