; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
40	1	1	comhad	0
40	2	1	comhad	0
40	3	1	comhad	0
40	4	1	comhad	0
40	5	1	comhad	0
41	1	1	comhad	0
41	2	1	comhad	0
41	3	1	comhad	0
41	4	1	comhad	0
41	5	1	comhad	0
42	1	1	comhad	0
42	2	1	comhad	0
42	3	1	comhad	0
42	4	1	comhad	0
42	5	1	comhad	0
43	1	1	comhad	0
43	2	1	comhad	0
43	3	1	comhad	0
43	4	1	comhad	0
43	5	1	comhad	0
44	1	1	comhad	0
44	2	1	comhad	0
44	3	1	comhad	0
44	4	1	comhad	0
44	5	1	comhad	0
45	1	1	comhad	0
45	2	1	comhad	0
45	3	1	comhad	0
45	4	1	comhad	0
45	5	1	comhad	0
46	1	1	comhad	0
46	2	1	comhad	0
46	3	1	comhad	0
46	4	1	comhad	0
46	5	1	comhad	0
47	1	1	comhad	0
47	2	1	comhad	0
47	3	1	comhad	0
47	4	1	comhad	0
47	5	1	comhad	0
48	1	1	comhad	0
48	2	1	comhad	0
48	3	1	comhad	0
48	4	1	comhad	0
48	5	1	comhad	0
49	1	1	comhad	0
49	2	1	comhad	0
49	3	1	comhad	0
49	4	1	comhad	0
49	5	1	comhad	0
50	1	1	comhad	0
50	2	1	comhad	0
50	3	1	comhad	0
50	4	1	comhad	0
50	5	1	comhad	0
51	1	1	comhad	0
51	2	1	comhad	0
51	3	1	comhad	0
51	4	1	comhad	0
51	5	1	comhad	0
52	1	1	comhad	0
52	2	1	comhad	0
52	3	1	comhad	0
52	4	1	comhad	0
52	5	1	comhad	0
53	1	1	comhad	0
53	2	1	comhad	0
53	3	1	comhad	0
53	4	1	comhad	0
53	5	1	comhad	0
54	1	1	comhad	0
54	2	1	comhad	0
54	3	1	comhad	0
54	4	1	comhad	0
54	5	1	comhad	0
55	1	1	comhad	99693640.625
55	2	1	comhad	76122703.125
55	3	1	comhad	100659148.4375
55	4	1	comhad	107444000
55	5	1	comhad	105471781.25
56	1	1	comhad	101566187.5
56	2	1	comhad	75646031.25
56	3	1	comhad	79614398.4375
56	4	1	comhad	81599710.9375
56	5	1	comhad	78713281.25
57	1	1	comhad	76749632.8125
57	2	1	comhad	57179460.9375
57	3	1	comhad	56888375
57	4	1	comhad	57626921.875
57	5	1	comhad	56083234.375
58	1	1	comhad	53180644.53125
58	2	1	comhad	40510757.8125
58	3	1	comhad	40727449.21875
58	4	1	comhad	40490859.375
58	5	1	comhad	39480113.28125
59	1	1	comhad	38677718.75
59	2	1	comhad	28834201.171875
59	3	1	comhad	29183447.265625
59	4	1	comhad	29613833.984375
59	5	1	comhad	29460529.296875
60	1	1	comhad	28413832.03125
60	2	1	comhad	21431556.640625
60	3	1	comhad	22317675.78125
60	4	1	comhad	22444339.84375
60	5	1	comhad	21750375
61	1	1	comhad	21134912.109375
61	2	1	comhad	15988933.59375
61	3	1	comhad	16660345.703125
61	4	1	comhad	16595851.5625
61	5	1	comhad	16652693.359375
62	1	1	comhad	16115047.8515625
62	2	1	comhad	12252191.40625
62	3	1	comhad	14019711.9140625
62	4	1	comhad	14591127.9296875
62	5	1	comhad	14565715.8203125
63	1	1	comhad	14115451.171875
63	2	1	comhad	10734468.75
63	3	1	comhad	13176474.609375
63	4	1	comhad	14363153.3203125
63	5	1	comhad	13993016.6015625
64	1	1	comhad	13440209.9609375
64	2	1	comhad	10560327.1484375
64	3	1	comhad	11449559.5703125
64	4	1	comhad	11752781.25
64	5	1	comhad	11221914.0625
65	1	1	comhad	11257793.9453125
65	2	1	comhad	8565619.140625
65	3	1	comhad	9257657.2265625
65	4	1	comhad	9364643.5546875
65	5	1	comhad	9384567.3828125
66	1	1	comhad	8955631.8359375
66	2	1	comhad	6808310.546875
66	3	1	comhad	7829475.09765625
66	4	1	comhad	7971315.4296875
66	5	1	comhad	7913839.84375
67	1	1	comhad	7606834.47265625
67	2	1	comhad	5907204.58984375
67	3	1	comhad	6508459.9609375
67	4	1	comhad	6764039.55078125
67	5	1	comhad	6671700.1953125
68	1	1	comhad	6342878.41796875
68	2	1	comhad	4887808.10546875
68	3	1	comhad	6579807.6171875
68	4	1	comhad	7044722.65625
68	5	1	comhad	7100965.8203125
69	1	1	comhad	6953775.390625
69	2	1	comhad	5429298.33984375
69	3	1	comhad	14756587.890625
69	4	1	comhad	17925804.6875
69	5	1	comhad	18071052.734375
70	1	1	comhad	17845701.171875
70	2	1	comhad	13927187.5
70	3	1	comhad	59566898.4375
70	4	1	comhad	74874570.3125
70	5	1	comhad	74690523.4375
71	1	1	comhad	71702859.375
71	2	1	comhad	57883445.3125
71	3	1	comhad	87739304.6875
71	4	1	comhad	96304179.6875
71	5	1	comhad	95933882.8125
72	1	1	comhad	92050171.875
72	2	1	comhad	71051320.3125
72	3	1	comhad	76997562.5
72	4	1	comhad	79878875
72	5	1	comhad	78690812.5
73	1	1	comhad	75223109.375
73	2	1	comhad	57789484.375
73	3	1	comhad	58879386.71875
73	4	1	comhad	60030746.09375
73	5	1	comhad	57255218.75
74	1	1	comhad	57449453.125
74	2	1	comhad	42607117.1875
74	3	1	comhad	42671933.59375
74	4	1	comhad	43204945.3125
74	5	1	comhad	42211789.0625
75	1	1	comhad	40788925.78125
75	2	1	comhad	30658191.40625
75	3	1	comhad	31894382.8125
75	4	1	comhad	31618482.421875
75	5	1	comhad	31065720.703125
76	1	1	comhad	30874615.234375
76	2	1	comhad	23051041.015625
76	3	1	comhad	23907183.59375
76	4	1	comhad	25011599.609375
76	5	1	comhad	24406027.34375
77	1	1	comhad	24076386.71875
77	2	1	comhad	18277343.75
77	3	1	comhad	19636406.25
77	4	1	comhad	20167207.03125
77	5	1	comhad	19599181.640625
78	1	1	comhad	19598562.5
78	2	1	comhad	15040619.140625
78	3	1	comhad	15983204.1015625
78	4	1	comhad	16720771.484375
78	5	1	comhad	16273436.5234375
79	1	1	comhad	16067058.59375
79	2	1	comhad	12201045.8984375
79	3	1	comhad	13754310.546875
79	4	1	comhad	14154800.78125
79	5	1	comhad	13867390.625
80	1	1	comhad	6919356.93359375
80	2	1	comhad	3654905.02929688
80	3	1	comhad	4558931.15234375
80	4	1	comhad	5044560.546875
80	5	1	comhad	5170399.90234375
81	1	1	comhad	5352284.66796875
81	2	1	comhad	4346361.328125
81	3	1	comhad	5145752.44140625
